id,libdep,circo,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,actemp,actcho,inactret,age_moyen,libelle_commune,total_voix_par_ville,catégorie,nom,voix,pourcentage_voix,code_insee,insecurite,taux_chomage_moyen
485,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,ZEMMOUR,5,5.747126436781609,02034,0.0,10.375
486,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,MÉLENCHON,4,4.597701149425287,02034,0.0,10.375
487,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,HIDALGO,0,0.0,02034,0.0,10.375
488,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,JADOT,0,0.0,02034,0.0,10.375
489,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,PÉCRESSE,1,1.1494252873563218,02034,0.0,10.375
490,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,POUTOU,0,0.0,02034,0.0,10.375
491,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,DUPONT-AIGNAN,2,2.2988505747126435,02034,0.0,10.375
492,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,abstentions,18,20.689655172413794,02034,0.0,10.375
493,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,blancs,0,0.0,02034,0.0,10.375
494,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Audignicourt,87,Petite ville,nuls,0,0.0,02034,0.0,10.375
585,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,ARTHAUD,3,0.3618817852834741,02041,0.0,10.375
586,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,ROUSSEL,11,1.3268998793727382,02041,0.0,10.375
587,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,MACRON,114,13.751507840772014,02041,0.0,10.375
588,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,LASSALLE,10,1.2062726176115801,02041,0.0,10.375
589,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,LE PEN,200,24.125452352231605,02041,0.0,10.375
590,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,ZEMMOUR,29,3.4981905910735827,02041,0.0,10.375
591,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,MÉLENCHON,86,10.373944511459591,02041,0.0,10.375
592,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,HIDALGO,3,0.3618817852834741,02041,0.0,10.375
593,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,JADOT,9,1.0856453558504222,02041,0.0,10.375
594,Aisne,02004,19.6,31.1,27.1,17.4,4.9,34.8,8.3,24.6,41.7,Autreville,829,Petite ville,PÉCRESSE,13,1.5681544028950543,02041,0.0,10.375
